gpu_name,model_name,tensor_parallel_size,num_concurrent_requests,max_output_tokens,prompt_tokens_per_request,prefill_wall_time_seconds,decode_wall_time_seconds,total_time_seconds
RTX-4090,facebook-opt-1.3b,1,16,128,8,0.0360,0.6111,0.6471
RTX-4090,facebook-opt-1.3b,1,16,256,8,0.0243,1.1924,1.2167
RTX-4090,facebook-opt-1.3b,1,16,512,8,0.0345,2.1900,2.2245
RTX-4090,facebook-opt-1.3b,1,32,128,8,0.0328,0.6285,0.6613
RTX-4090,facebook-opt-1.3b,1,32,256,8,0.0353,1.3081,1.3434
RTX-4090,facebook-opt-1.3b,1,32,512,8,0.0325,2.5057,2.5381
RTX-4090,facebook-opt-1.3b,1,64,128,8,0.0528,0.7703,0.8231
RTX-4090,facebook-opt-1.3b,1,64,256,8,0.0482,1.4275,1.4757
RTX-4090,facebook-opt-1.3b,1,64,512,8,0.0533,2.8198,2.8731
RTX-4090,facebook-opt-1.3b,1,16,128,8,0.0220,0.6213,0.6433
RTX-4090,facebook-opt-1.3b,1,16,256,8,0.0256,1.2668,1.2924
RTX-4090,facebook-opt-1.3b,1,16,512,8,0.0245,1.8931,1.9175
RTX-4090,facebook-opt-1.3b,1,32,128,8,0.0412,0.6476,0.6888
RTX-4090,facebook-opt-1.3b,1,32,256,8,0.0328,1.2915,1.3242
RTX-4090,facebook-opt-1.3b,1,32,512,8,0.0402,2.4594,2.4996
RTX-4090,facebook-opt-1.3b,1,64,128,8,0.0524,0.7700,0.8224
RTX-4090,facebook-opt-1.3b,1,64,256,8,0.0535,1.4216,1.4751
RTX-4090,facebook-opt-1.3b,1,64,512,8,0.0579,2.8803,2.9382
